Tarih,TP_DK_EUR_A_YTL
2013-01-01,
2013-01-02,2.3452
2013-01-03,2.3479
2013-01-04,2.3263
2013-01-05,
2013-01-06,
2013-01-07,2.3168
2013-01-08,2.3126
2013-01-09,2.3214
2013-01-10,2.3118
2013-01-11,2.313
2013-01-12,
2013-01-13,
2013-01-14,2.3394
2013-01-15,2.3535
2013-01-16,2.3534
2013-01-17,2.3419
2013-01-18,2.3377
2013-01-19,
2013-01-20,
2013-01-21,2.3353
2013-01-22,2.3353
2013-01-23,2.3431
2013-01-24,2.3485
2013-01-25,2.3498
2013-01-26,
2013-01-27,
2013-01-28,2.3616
2013-01-29,2.3654
2013-01-30,2.3695
2013-01-31,2.3805
2013-02-01,2.3787
2013-02-02,
2013-02-03,
2013-02-04,2.3828
2013-02-05,2.3708
2013-02-06,2.3707
2013-02-07,2.3764
2013-02-08,2.3873
2013-02-09,
2013-02-10,
2013-02-11,2.3636
2013-02-12,2.3624
2013-02-13,2.3711
2013-02-14,2.3712
2013-02-15,2.3522
2013-02-16,
2013-02-17,
2013-02-18,2.3558
2013-02-19,2.357
2013-02-20,2.3624
2013-02-21,2.3791
2013-02-22,2.3634
2013-02-23,
2013-02-24,
2013-02-25,2.3636
2013-02-26,2.3823
2013-02-27,2.364
2013-02-28,2.3627
2013-03-01,2.356
2013-03-02,
2013-03-03,
2013-03-04,2.3473
2013-03-05,2.343
2013-03-06,2.3409
2013-03-07,2.3356
2013-03-08,2.3396
2013-03-09,
2013-03-10,
2013-03-11,2.3512
2013-03-12,2.3438
2013-03-13,2.347
2013-03-14,2.3496
2013-03-15,2.3456
2013-03-16,
2013-03-17,
2013-03-18,2.3608
2013-03-19,2.3479
2013-03-20,2.3491
2013-03-21,2.3507
2013-03-22,2.3426
2013-03-23,
2013-03-24,
2013-03-25,2.351
2013-03-26,2.3551
2013-03-27,2.3379
2013-03-28,2.3257
2013-03-29,2.3206
2013-03-30,
2013-03-31,
2013-04-01,2.3189
2013-04-02,2.3193
2013-04-03,2.3173
2013-04-04,2.3153
2013-04-05,2.3149
2013-04-06,
2013-04-07,
2013-04-08,2.3287
2013-04-09,2.3268
2013-04-10,2.325
2013-04-11,2.3371
2013-04-12,2.3389
2013-04-13,
2013-04-14,
2013-04-15,2.3361
2013-04-16,2.339
2013-04-17,2.3452
2013-04-18,2.3536
2013-04-19,2.3421
2013-04-20,
2013-04-21,
2013-04-22,2.3498
2013-04-23,
2013-04-24,2.3501
2013-04-25,2.344
2013-04-26,2.3498
2013-04-27,
2013-04-28,
2013-04-29,2.3438
2013-04-30,2.3501
2013-05-01,
2013-05-02,2.3485
2013-05-03,2.3603
2013-05-04,
2013-05-05,
2013-05-06,2.3521
2013-05-07,2.3522
2013-05-08,2.3565
2013-05-09,2.3542
2013-05-10,2.353
2013-05-11,
2013-05-12,
2013-05-13,2.3414
2013-05-14,2.3423
2013-05-15,2.3508
2013-05-16,2.3456
2013-05-17,2.3466
2013-05-18,
2013-05-19,
2013-05-20,2.3596
2013-05-21,2.3704
2013-05-22,2.3779
2013-05-23,2.3796
2013-05-24,2.3833
2013-05-25,
2013-05-26,
2013-05-27,2.3891
2013-05-28,2.3871
2013-05-29,2.3888
2013-05-30,2.4057
2013-05-31,2.4208
2013-06-01,
2013-06-02,
2013-06-03,2.4498
2013-06-04,2.4603
2013-06-05,2.4522
2013-06-06,2.4573
2013-06-07,2.474
2013-06-08,
2013-06-09,
2013-06-10,2.4983
2013-06-11,2.5022
2013-06-12,2.5153
2013-06-13,2.4929
2013-06-14,2.491
2013-06-15,
2013-06-16,
2013-06-17,2.4696
2013-06-18,2.488
2013-06-19,2.5083
2013-06-20,2.5198
2013-06-21,2.5327
2013-06-22,
2013-06-23,
2013-06-24,2.5508
2013-06-25,2.5426
2013-06-26,2.538
2013-06-27,2.5192
2013-06-28,2.5109
2013-06-29,
2013-06-30,
2013-07-01,2.5137
2013-07-02,2.5086
2013-07-03,2.5042
2013-07-04,2.524
2013-07-05,2.5319
2013-07-06,
2013-07-07,
2013-07-08,2.5073
2013-07-09,2.5057
2013-07-10,2.4951
2013-07-11,2.4907
2013-07-12,2.5324
2013-07-13,
2013-07-14,
2013-07-15,2.5538
2013-07-16,2.5305
2013-07-17,2.5251
2013-07-18,2.53
2013-07-19,2.5115
2013-07-20,
2013-07-21,
2013-07-22,2.5212
2013-07-23,2.5216
2013-07-24,2.5209
2013-07-25,2.5243
2013-07-26,2.5408
2013-07-27,
2013-07-28,
2013-07-29,2.5496
2013-07-30,2.5541
2013-07-31,2.5539
2013-08-01,2.5608
2013-08-02,2.5617
2013-08-03,
2013-08-04,
2013-08-05,2.5707
2013-08-06,2.5599
2013-08-07,2.5607
2013-08-08,
2013-08-09,
2013-08-10,
2013-08-11,
2013-08-12,2.5607
2013-08-13,2.5572
2013-08-14,2.5597
2013-08-15,2.5658
2013-08-16,2.5622
2013-08-17,
2013-08-18,
2013-08-19,2.5805
2013-08-20,2.5973
2013-08-21,2.6061
2013-08-22,2.6223
2013-08-23,2.6446
2013-08-24,
2013-08-25,
2013-08-26,2.6509
2013-08-27,2.668
2013-08-28,2.6989
2013-08-29,2.747
2013-08-30,
2013-08-31,
2013-09-01,
2013-09-02,2.693
2013-09-03,2.6644
2013-09-04,2.6895
2013-09-05,2.7058
2013-09-06,2.7359
2013-09-07,
2013-09-08,
2013-09-09,2.7066
2013-09-10,2.6889
2013-09-11,2.687
2013-09-12,2.6712
2013-09-13,2.6869
2013-09-14,
2013-09-15,
2013-09-16,2.6926
2013-09-17,2.6617
2013-09-18,2.6778
2013-09-19,2.674
2013-09-20,2.6449
2013-09-21,
2013-09-22,
2013-09-23,2.6689
2013-09-24,2.6835
2013-09-25,2.691
2013-09-26,2.7049
2013-09-27,2.7171
2013-09-28,
2013-09-29,
2013-09-30,2.7484
2013-10-01,2.7502
2013-10-02,2.7251
2013-10-03,2.7305
2013-10-04,2.719
2013-10-05,
2013-10-06,
2013-10-07,2.7162
2013-10-08,2.7101
2013-10-09,2.6973
2013-10-10,2.6869
2013-10-11,2.6738
2013-10-12,
2013-10-13,
2013-10-14,2.6807
2013-10-15,
2013-10-16,
2013-10-17,
2013-10-18,
2013-10-19,
2013-10-20,
2013-10-21,2.6807
2013-10-22,2.6998
2013-10-23,2.7097
2013-10-24,2.7153
2013-10-25,2.7262
2013-10-26,
2013-10-27,
2013-10-28,2.7398
2013-10-29,
2013-10-30,2.7398
2013-10-31,2.7361
2013-11-01,2.72
2013-11-02,
2013-11-03,
2013-11-04,2.7128
2013-11-05,2.7254
2013-11-06,2.7303
2013-11-07,2.7374
2013-11-08,2.7384
2013-11-09,
2013-11-10,
2013-11-11,2.7197
2013-11-12,2.7262
2013-11-13,2.7461
2013-11-14,2.7539
2013-11-15,2.7486
2013-11-16,
2013-11-17,
2013-11-18,2.741
2013-11-19,2.7293
2013-11-20,2.7242
2013-11-21,2.719
2013-11-22,2.7123
2013-11-23,
2013-11-24,
2013-11-25,2.7255
2013-11-26,2.6995
2013-11-27,2.7193
2013-11-28,2.7398
2013-11-29,2.7423
2013-11-30,
2013-12-01,
2013-12-02,2.7454
2013-12-03,2.7495
2013-12-04,2.7629
2013-12-05,2.779
2013-12-06,2.7846
2013-12-07,
2013-12-08,
2013-12-09,2.7866
2013-12-10,2.7864
2013-12-11,2.786
2013-12-12,2.7932
2013-12-13,2.8064
2013-12-14,
2013-12-15,
2013-12-16,2.8031
2013-12-17,2.8016
2013-12-18,2.8042
2013-12-19,2.8086
2013-12-20,2.8188
2013-12-21,
2013-12-22,
2013-12-23,2.8505
2013-12-24,2.8573
2013-12-25,2.8466
2013-12-26,2.8353
2013-12-27,2.8693
2013-12-28,
2013-12-29,
2013-12-30,2.9844
2013-12-31,2.9365
2014-01-01,
2014-01-02,2.9344
2014-01-03,2.9744
2014-01-04,
2014-01-05,
2014-01-06,2.9587
2014-01-07,2.9767
2014-01-08,2.9613
2014-01-09,2.9575
2014-01-10,2.9732
2014-01-11,
2014-01-12,
2014-01-13,2.9586
2014-01-14,2.9671
2014-01-15,2.9969
2014-01-16,2.9834
2014-01-17,3.0025
2014-01-18,
2014-01-19,
2014-01-20,3.0023
2014-01-21,3.0337
2014-01-22,3.033
2014-01-23,3.0557
2014-01-24,3.0997
2014-01-25,
2014-01-26,
2014-01-27,3.1694
2014-01-28,3.2053
2014-01-29,3.0934
2014-01-30,3.0362
2014-01-31,3.1003
2014-02-01,
2014-02-02,
2014-02-03,3.0726
2014-02-04,3.0557
2014-02-05,3.0492
2014-02-06,3.0271
2014-02-07,3.0078
2014-02-08,
2014-02-09,
2014-02-10,3.0094
2014-02-11,3.034
2014-02-12,3.0111
2014-02-13,2.9857
2014-02-14,3.0062
2014-02-15,
2014-02-16,
2014-02-17,2.992
2014-02-18,2.9891
2014-02-19,2.9905
2014-02-20,3.009
2014-02-21,3.0249
2014-02-22,
2014-02-23,
2014-02-24,3.012
2014-02-25,2.9967
2014-02-26,3.0319
2014-02-27,3.0326
2014-02-28,3.0508
2014-03-01,
2014-03-02,
2014-03-03,3.0477
2014-03-04,3.0556
2014-03-05,3.044
2014-03-06,3.0298
2014-03-07,3.0225
2014-03-08,
2014-03-09,
2014-03-10,3.0381
2014-03-11,3.07
2014-03-12,3.0781
2014-03-13,3.1153
2014-03-14,3.1037
2014-03-15,
2014-03-16,
2014-03-17,3.0993
2014-03-18,3.0872
2014-03-19,3.0916
2014-03-20,3.0919
2014-03-21,3.0842
2014-03-22,
2014-03-23,
2014-03-24,3.0824
2014-03-25,3.0823
2014-03-26,3.0831
2014-03-27,3.0524
2014-03-28,3.0148
2014-03-29,
2014-03-30,
2014-03-31,3.0072
2014-04-01,2.9699
2014-04-02,2.9643
2014-04-03,2.9392
2014-04-04,2.939
2014-04-05,
2014-04-06,
2014-04-07,2.9264
2014-04-08,2.9068
2014-04-09,2.8838
2014-04-10,2.9036
2014-04-11,2.9105
2014-04-12,
2014-04-13,
2014-04-14,2.9406
2014-04-15,2.9419
2014-04-16,2.9342
2014-04-17,2.9507
2014-04-18,2.9505
2014-04-19,
2014-04-20,
2014-04-21,2.9411
2014-04-22,2.9481
2014-04-23,
2014-04-24,2.9516
2014-04-25,2.9568
2014-04-26,
2014-04-27,
2014-04-28,2.9533
2014-04-29,2.9558
2014-04-30,2.935
2014-05-01,
2014-05-02,2.9252
2014-05-03,
2014-05-04,
2014-05-05,2.9194
2014-05-06,2.9087
2014-05-07,2.9153
2014-05-08,2.9137
2014-05-09,2.8917
2014-05-10,
2014-05-11,
2014-05-12,2.8671
2014-05-13,2.8573
2014-05-14,2.8451
2014-05-15,2.8409
2014-05-16,2.8387
2014-05-17,
2014-05-18,
2014-05-19,
2014-05-20,2.8761
2014-05-21,2.8826
2014-05-22,2.8869
2014-05-23,2.8607
2014-05-24,
2014-05-25,
2014-05-26,2.841
2014-05-27,2.8435
2014-05-28,2.8621
2014-05-29,2.866
2014-05-30,2.8476
2014-05-31,
2014-06-01,
2014-06-02,2.8471
2014-06-03,2.8521
2014-06-04,2.861
2014-06-05,2.8862
2014-06-06,2.8682
2014-06-07,
2014-06-08,
2014-06-09,2.8498
2014-06-10,2.8319
2014-06-11,2.8296
2014-06-12,2.8318
2014-06-13,2.8486
2014-06-14,
2014-06-15,
2014-06-16,2.8741
2014-06-17,2.8923
2014-06-18,2.8953
2014-06-19,2.9066
2014-06-20,2.8985
2014-06-21,
2014-06-22,
2014-06-23,2.9069
2014-06-24,2.907
2014-06-25,2.9024
2014-06-26,2.9104
2014-06-27,2.8992
2014-06-28,
2014-06-29,
2014-06-30,2.8919
2014-07-01,2.8979
2014-07-02,2.9011
2014-07-03,2.9066
2014-07-04,2.91
2014-07-05,
2014-07-06,
2014-07-07,2.8927
2014-07-08,2.8975
2014-07-09,2.8893
2014-07-10,2.8907
2014-07-11,2.8929
2014-07-12,
2014-07-13,
2014-07-14,2.8881
2014-07-15,2.8861
2014-07-16,2.8853
2014-07-17,2.8745
2014-07-18,2.8715
2014-07-19,
2014-07-20,
2014-07-21,2.8768
2014-07-22,2.8636
2014-07-23,2.8572
2014-07-24,2.8172
2014-07-25,2.816
2014-07-26,
2014-07-27,
2014-07-28,
2014-07-29,
2014-07-30,
2014-07-31,2.8135
2014-08-01,2.856
2014-08-02,
2014-08-03,
2014-08-04,2.8719
2014-08-05,2.8608
2014-08-06,2.8485
2014-08-07,2.8872
2014-08-08,2.8871
2014-08-09,
2014-08-10,
2014-08-11,2.9036
2014-08-12,2.8779
2014-08-13,2.8856
2014-08-14,2.8837
2014-08-15,2.8831
2014-08-16,
2014-08-17,
2014-08-18,2.8856
2014-08-19,2.903
2014-08-20,2.8881
2014-08-21,2.8813
2014-08-22,2.8871
2014-08-23,
2014-08-24,
2014-08-25,2.8896
2014-08-26,2.874
2014-08-27,2.8623
2014-08-28,2.8448
2014-08-29,2.8528
2014-08-30,
2014-08-31,
2014-09-01,2.8451
2014-09-02,2.8381
2014-09-03,2.8435
2014-09-04,2.8418
2014-09-05,2.83
2014-09-06,
2014-09-07,
2014-09-08,2.802
2014-09-09,2.8003
2014-09-10,2.8218
2014-09-11,2.8492
2014-09-12,2.8333
2014-09-13,
2014-09-14,
2014-09-15,2.8455
2014-09-16,2.862
2014-09-17,2.86
2014-09-18,2.8586
2014-09-19,2.8623
2014-09-20,
2014-09-21,
2014-09-22,2.8624
2014-09-23,2.8781
2014-09-24,2.8745
2014-09-25,2.8677
2014-09-26,2.8607
2014-09-27,
2014-09-28,
2014-09-29,2.8748
2014-09-30,2.8914
2014-10-01,2.8746
2014-10-02,2.8771
2014-10-03,2.8709
2014-10-04,
2014-10-05,
2014-10-06,
2014-10-07,
2014-10-08,2.8709
2014-10-09,2.895
2014-10-10,2.8804
2014-10-11,
2014-10-12,
2014-10-13,2.8851
2014-10-14,2.878
2014-10-15,2.8862
2014-10-16,2.8718
2014-10-17,2.9027
2014-10-18,
2014-10-19,
2014-10-20,2.8824
2014-10-21,2.8667
2014-10-22,2.8642
2014-10-23,2.8513
2014-10-24,2.8334
2014-10-25,
2014-10-26,
2014-10-27,2.831
2014-10-28,2.8357
2014-10-29,
2014-10-30,2.8357
2014-10-31,2.7902
2014-11-01,
2014-11-02,
2014-11-03,2.7662
2014-11-04,2.7806
2014-11-05,2.7827
2014-11-06,2.7923
2014-11-07,2.8021
2014-11-08,
2014-11-09,
2014-11-10,2.8158
2014-11-11,2.8049
2014-11-12,2.8108
2014-11-13,2.8149
2014-11-14,2.7983
2014-11-15,
2014-11-16,
2014-11-17,2.791
2014-11-18,2.7861
2014-11-19,2.7777
2014-11-20,2.7933
2014-11-21,2.7959
2014-11-22,
2014-11-23,
2014-11-24,2.7667
2014-11-25,2.7609
2014-11-26,2.7702
